ID_Paquete,Cliente,Ciudad_Destino,Peso_kg,Volumen_m3,Deposito_Origen,Ruta,Km_Total,Num_Paradas
546,Amado Agustí Campos,Barranquilla,19.54,0.21,Pereira,Pereira -> Medellin -> Barranquilla,992.0,2
547,Rodrigo Perales Sastre,Cartagena,30.79,0.95,Bucaramanga,Bucaramanga -> Cartagena,623.0,1
548,Vito Ángel Pozo Lago,Cali,69.97,0.46,Bogota,Bogota -> Cali,458.0,1
549,Amando del Llamas,Pereira,30.44,2.87,Pereira,Pereira,0.0,0
550,Ramiro Llamas Becerra,Cartagena,54.55,2.1,Bucaramanga,Bucaramanga -> Cartagena,623.0,1
551,Simón Soriano Sotelo,Neiva,36.83,2.82,Ibague,Ibague -> Neiva,211.0,1
552,Narcisa Valcárcel Tomás,Armenia,27.82,1.55,Ibague,Ibague -> Armenia,5.4,1
553,Carolina Nélida Colom Galán,Villavicencio,22.11,0.55,Bogota,Bogota -> Villavicencio,123.0,1
554,Alejandra Fiol Salom,Manizales,54.43,2.37,Ibague,Ibague -> Manizales,163.0,1
555,Natividad Vendrell,Ibagué,38.37,1.88,,NO EXISTE EN GRAFO,,0
556,Angelino Nuñez,Ibagué,1.6,2.17,,NO EXISTE EN GRAFO,,0
557,Hector Goñi Bayo,Armenia,66.47,1.57,Ibague,Ibague -> Armenia,5.4,1
558,Pía Román Navas,Cartagena,69.79,2.67,Bucaramanga,Bucaramanga -> Cartagena,623.0,1
559,Sabina Posada Iglesias,Cartagena,27.64,0.38,Bucaramanga,Bucaramanga -> Cartagena,623.0,1
560,Marcos Díaz Acero,Pereira,36.06,2.54,Pereira,Pereira,0.0,0
561,Isabel Fabra Cisneros,Bucaramanga,19.8,2.01,Bucaramanga,Bucaramanga,0.0,0
562,Nazario Esteve,Cali,18.34,0.09,Bogota,Bogota -> Cali,458.0,1
563,Salvador Garcés Taboada,Bogotá,60.1,0.17,,NO EXISTE EN GRAFO,,0
564,Haroldo Galan Zamora,Pasto,59.65,1.65,Bogota,Bogota -> Cali -> Pasto,844.0,2
565,Celia Velasco Nicolau,Manizales,11.47,0.13,Ibague,Ibague -> Manizales,163.0,1
566,Ana Belén Cortina,Barranquilla,46.9,2.83,Pereira,Pereira -> Medellin -> Barranquilla,992.0,2
567,Adrián Gallego-Busquets,Neiva,17.27,1.01,Ibague,Ibague -> Neiva,211.0,1
568,Marcelo Armengol Doménech,Bogotá,38.86,0.45,,NO EXISTE EN GRAFO,,0
569,Vanesa Vara Lago,Armenia,11.98,2.04,Ibague,Ibague -> Armenia,5.4,1
570,Marco Giner Delgado,Tunja,31.72,0.83,Bogota,Bogota -> Tunja,139.0,1
571,Jovita Armida Amaya Paredes,Pereira,77.49,0.86,Pereira,Pereira,0.0,0
572,Melchor Araujo-Chaparro,Neiva,39.6,1.62,Ibague,Ibague -> Neiva,211.0,1
573,Baudelio del Egea,Medellín,21.9,1.79,,NO EXISTE EN GRAFO,,0
574,Isa Ibarra Bermúdez,Ibagué,35.88,1.54,,NO EXISTE EN GRAFO,,0
575,Susana Olmedo Moreno,Neiva,14.22,1.93,Ibague,Ibague -> Neiva,211.0,1
576,Leticia Rosalía Escobar Zaragoza,Tunja,43.73,1.85,Bogota,Bogota -> Tunja,139.0,1
577,Juana Morata Orozco,Pereira,12.48,2.7,Pereira,Pereira,0.0,0
578,Nerea Amor Pou,Pasto,8.9,1.25,Bogota,Bogota -> Cali -> Pasto,844.0,2
579,Esperanza Galván Chacón,Barranquilla,58.72,1.99,Pereira,Pereira -> Medellin -> Barranquilla,992.0,2
580,Chus Vicente-Coello,Armenia,51.31,2.45,Ibague,Ibague -> Armenia,5.4,1
581,María Del Carmen Vallés Pons,Tunja,49.44,1.95,Bogota,Bogota -> Tunja,139.0,1
582,Melchor Crespo Rivera,Barranquilla,31.85,1.13,Pereira,Pereira -> Medellin -> Barranquilla,992.0,2
583,Gustavo Ismael Español Soria,Neiva,50.51,2.07,Ibague,Ibague -> Neiva,211.0,1
584,Paloma Peiró Daza,Cartagena,23.96,0.23,Bucaramanga,Bucaramanga -> Cartagena,623.0,1
585,Hipólito Jeremías Andrés Torrent,Cali,9.63,0.81,Bogota,Bogota -> Cali,458.0,1
586,Chucho Vergara Coll,Barranquilla,68.82,1.33,Pereira,Pereira -> Medellin -> Barranquilla,992.0,2
587,Teo de Manzanares,Tunja,5.24,1.66,Bogota,Bogota -> Tunja,139.0,1
588,Modesto Cornelio Lledó Quirós,Manizales,56.97,1.19,Ibague,Ibague -> Manizales,163.0,1
589,Andrés Felipe Roig,Ibagué,2.1,1.84,,NO EXISTE EN GRAFO,,0
590,Florentino Carpio Zamorano,Bogotá,28.63,0.63,,NO EXISTE EN GRAFO,,0
591,Marco Zabaleta Cortés,Cali,28.92,1.06,Bogota,Bogota -> Cali,458.0,1
592,Rosario Cerdán Manrique,Manizales,76.16,2.49,Ibague,Ibague -> Manizales,163.0,1
593,Armando Palacio Torrens,Tunja,60.83,0.8,Bogota,Bogota -> Tunja,139.0,1
594,Aarón Gastón Feijoo Iborra,Cali,37.96,0.62,Bogota,Bogota -> Cali,458.0,1
595,Salomón Vazquez Bayona,Neiva,26.92,1.38,Ibague,Ibague -> Neiva,211.0,1
596,Trini Figuerola Prada,Manizales,58.7,0.3,Ibague,Ibague -> Manizales,163.0,1
597,Natividad Carbonell,Neiva,67.74,2.76,Ibague,Ibague -> Neiva,211.0,1
598,Encarnita Vaquero Sandoval,Pasto,52.0,2.97,Bogota,Bogota -> Cali -> Pasto,844.0,2
599,Iris de Ramis,Armenia,45.7,1.07,Ibague,Ibague -> Armenia,5.4,1
600,Jafet Pedrero,Medellín,22.11,1.85,,NO EXISTE EN GRAFO,,0
601,Juan Antonio Castellanos Arias,Villavicencio,31.91,0.24,Bogota,Bogota -> Villavicencio,123.0,1
602,Demetrio Salom Herrero,Pereira,45.78,1.4,Pereira,Pereira,0.0,0
603,Félix Ocaña,Cartagena,72.02,1.36,Bucaramanga,Bucaramanga -> Cartagena,623.0,1
604,Luz Suarez Ballesteros,Barranquilla,46.82,2.06,Pereira,Pereira -> Medellin -> Barranquilla,992.0,2
605,Eulalia Diaz,Pereira,46.3,0.55,Pereira,Pereira,0.0,0
606,Gerardo del Blanca,Villavicencio,14.96,2.48,Bogota,Bogota -> Villavicencio,123.0,1
607,Manu Borja Luján,Pasto,2.26,2.0,Bogota,Bogota -> Cali -> Pasto,844.0,2
608,Paz Herranz Roura,Barranquilla,59.28,0.33,Pereira,Pereira -> Medellin -> Barranquilla,992.0,2
609,Ramona Tirado Costa,Neiva,13.47,2.34,Ibague,Ibague -> Neiva,211.0,1
610,Yago Daza-Rozas,Pasto,42.57,1.58,Bogota,Bogota -> Cali -> Pasto,844.0,2
611,Amarilis Nogueira Agullo,Ibagué,13.31,2.46,,NO EXISTE EN GRAFO,,0
612,Hernando Rivero Molina,Cartagena,69.31,0.07,Bucaramanga,Bucaramanga -> Cartagena,623.0,1
613,Primitivo Piña Gordillo,Neiva,33.85,0.03,Ibague,Ibague -> Neiva,211.0,1
614,Florina Nadal,Villavicencio,31.88,0.67,Bogota,Bogota -> Villavicencio,123.0,1
615,Flavia Naranjo Bolaños,Barranquilla,3.46,0.3,Pereira,Pereira -> Medellin -> Barranquilla,992.0,2
616,Antonia Portero Abascal,Bucaramanga,3.57,0.98,Bucaramanga,Bucaramanga,0.0,0
617,Benjamín Prat-Pujadas,Cartagena,75.6,0.43,Bucaramanga,Bucaramanga -> Cartagena,623.0,1
618,Febe del Castelló,Medellín,27.84,2.75,,NO EXISTE EN GRAFO,,0
619,Maximiliano Varela Rivas,Cali,33.76,2.48,Bogota,Bogota -> Cali,458.0,1
620,Bartolomé Berenguer-Salmerón,Cali,26.35,2.89,Bogota,Bogota -> Cali,458.0,1
621,Luisina Olmo Carlos,Bogotá,3.1,1.87,,NO EXISTE EN GRAFO,,0
622,José Antonio Cases Céspedes,Villavicencio,65.29,0.02,Bogota,Bogota -> Villavicencio,123.0,1
623,Primitiva del Reig,Pasto,59.68,0.01,Bogota,Bogota -> Cali -> Pasto,844.0,2
624,Leandra Trillo Caballero,Armenia,67.29,1.2,Ibague,Ibague -> Armenia,5.4,1
625,Aurora Calderon,Medellín,3.94,2.87,,NO EXISTE EN GRAFO,,0
626,Rita Madrid Prats,Santa Marta,24.08,1.13,,NO EXISTE EN GRAFO,,0
627,Julián Núñez Zabaleta,Tunja,47.8,2.78,Bogota,Bogota -> Tunja,139.0,1
628,Renata Cobo Ripoll,Armenia,11.15,2.69,Ibague,Ibague -> Armenia,5.4,1
629,Bonifacio Núñez Antúnez,Cartagena,22.41,0.22,Bucaramanga,Bucaramanga -> Cartagena,623.0,1
630,Juliana Lucas,Bucaramanga,5.13,0.88,Bucaramanga,Bucaramanga,0.0,0
631,África Camps Yuste,Tunja,27.22,2.11,Bogota,Bogota -> Tunja,139.0,1
632,Soledad Ledesma Tomás,Santa Marta,5.19,1.34,,NO EXISTE EN GRAFO,,0
633,Marcela Real Sabater,Armenia,60.61,2.48,Ibague,Ibague -> Armenia,5.4,1
634,Claudia del Abascal,Medellín,18.66,2.87,,NO EXISTE EN GRAFO,,0
635,Marco Goñi Girón,Pasto,17.7,1.19,Bogota,Bogota -> Cali -> Pasto,844.0,2
636,Paulina Dávila Torres,Ibagué,26.71,0.6,,NO EXISTE EN GRAFO,,0
637,Alex Jesús Arnau Roman,Bogotá,17.01,2.55,,NO EXISTE EN GRAFO,,0
638,Marino del Pardo,Ibagué,48.08,1.69,,NO EXISTE EN GRAFO,,0
639,Carmela Coloma Palacio,Santa Marta,36.0,3.0,,NO EXISTE EN GRAFO,,0
640,Diana del Bermejo,Santa Marta,26.37,0.42,,NO EXISTE EN GRAFO,,0
641,Nazaret Morante-Bermúdez,Bucaramanga,42.33,2.16,Bucaramanga,Bucaramanga,0.0,0
642,Ainoa Valcárcel Ruiz,Villavicencio,36.63,2.58,Bogota,Bogota -> Villavicencio,123.0,1
643,Josefina Alvarado,Cartagena,45.13,1.09,Bucaramanga,Bucaramanga -> Cartagena,623.0,1
644,Macario Yuste Cantero,Armenia,58.1,2.9,Ibague,Ibague -> Armenia,5.4,1
645,Jennifer Gómez Álvarez,Ibagué,5.75,1.51,,NO EXISTE EN GRAFO,,0
646,Alexandra Torralba Lledó,Villavicencio,31.01,0.33,Bogota,Bogota -> Villavicencio,123.0,1
647,Eva Pont-Mariño,Armenia,58.93,1.63,Ibague,Ibague -> Armenia,5.4,1
648,Alberto García Agustín,Santa Marta,50.76,0.67,,NO EXISTE EN GRAFO,,0
649,Melisa Borrás Suárez,Armenia,37.92,0.82,Ibague,Ibague -> Armenia,5.4,1
650,Antonia Asenjo Ojeda,Cali,43.55,0.61,Bogota,Bogota -> Cali,458.0,1
651,Quirino Téllez-Rosell,Medellín,69.48,0.7,,NO EXISTE EN GRAFO,,0
652,Lázaro Acuña Carpio,Cartagena,44.92,1.56,Bucaramanga,Bucaramanga -> Cartagena,623.0,1
653,Melisa Alexandra Salcedo Alberola,Cali,30.98,2.26,Bogota,Bogota -> Cali,458.0,1
654,Eli Gutiérrez Caro,Pereira,78.98,1.11,Pereira,Pereira,0.0,0
655,Nazaret Rodríguez Ribera,Bogotá,73.12,1.19,,NO EXISTE EN GRAFO,,0
656,Marcela Palomares Ferrán,Pereira,60.54,0.71,Pereira,Pereira,0.0,0
657,Lisandro Solís,Cartagena,71.4,2.79,Bucaramanga,Bucaramanga -> Cartagena,623.0,1
658,Úrsula Bonet Mínguez,Armenia,10.17,0.84,Ibague,Ibague -> Armenia,5.4,1
659,Alejandro Angelino Miralles Carrión,Bucaramanga,58.0,2.0,Bucaramanga,Bucaramanga,0.0,0
660,Esther del Velázquez,Medellín,54.07,1.73,,NO EXISTE EN GRAFO,,0
661,Esmeralda Baquero Lucas,Neiva,22.94,1.29,Ibague,Ibague -> Neiva,211.0,1
662,Danilo Ribera Andrade,Bucaramanga,71.52,2.36,Bucaramanga,Bucaramanga,0.0,0
663,Odalys de Azorin,Tunja,19.48,1.81,Bogota,Bogota -> Tunja,139.0,1
664,Baltasar Romero Martin,Pasto,8.39,0.25,Bogota,Bogota -> Cali -> Pasto,844.0,2
665,Rosario Sanabria Coronado,Villavicencio,31.91,0.35,Bogota,Bogota -> Villavicencio,123.0,1
666,Berta Valenzuela Aragón,Armenia,17.16,0.89,Ibague,Ibague -> Armenia,5.4,1
667,Reyes Hernández Robles,Neiva,72.38,0.49,Ibague,Ibague -> Neiva,211.0,1
668,Jose Ramón de Jiménez,Cartagena,14.67,0.59,Bucaramanga,Bucaramanga -> Cartagena,623.0,1
669,Catalina Salvà Infante,Bucaramanga,1.15,2.47,Bucaramanga,Bucaramanga,0.0,0
670,Ariel Sans,Santa Marta,46.06,0.53,,NO EXISTE EN GRAFO,,0
671,Epifanio Pizarro Vega,Bogotá,24.2,1.61,,NO EXISTE EN GRAFO,,0
672,José María Tormo Baena,Bogotá,47.48,2.39,,NO EXISTE EN GRAFO,,0
673,Segismundo Alvarez Santamaría,Barranquilla,56.88,0.18,Pereira,Pereira -> Medellin -> Barranquilla,992.0,2
674,Emilia Jara Llorens,Cartagena,15.12,2.74,Bucaramanga,Bucaramanga -> Cartagena,623.0,1
675,Rolando Escrivá Mora,Cali,68.32,1.36,Bogota,Bogota -> Cali,458.0,1
676,Nereida de Salvà,Villavicencio,76.55,1.8,Bogota,Bogota -> Villavicencio,123.0,1
677,Marisela María Jesús Guerrero Ibarra,Medellín,15.62,1.61,,NO EXISTE EN GRAFO,,0
678,Cleto Correa,Villavicencio,31.75,0.56,Bogota,Bogota -> Villavicencio,123.0,1
679,Edmundo Salazar Barranco,Barranquilla,69.19,1.39,Pereira,Pereira -> Medellin -> Barranquilla,992.0,2
680,Adriana Aguirre Portillo,Neiva,38.91,0.85,Ibague,Ibague -> Neiva,211.0,1
681,Marcia del Bermúdez,Manizales,21.92,0.88,Ibague,Ibague -> Manizales,163.0,1
682,Manuel Moll-Pina,Bucaramanga,75.6,0.08,Bucaramanga,Bucaramanga,0.0,0
683,Vicenta Coello Bermudez,Bucaramanga,74.99,0.33,Bucaramanga,Bucaramanga,0.0,0
684,Vanesa Pallarès Polo,Villavicencio,62.91,1.29,Bogota,Bogota -> Villavicencio,123.0,1
685,Fabián Rosa,Tunja,39.18,0.75,Bogota,Bogota -> Tunja,139.0,1
686,Teresita Durán Cortes,Manizales,1.39,1.78,Ibague,Ibague -> Manizales,163.0,1
687,Pía Carrillo Bernad,Pereira,2.92,0.12,Pereira,Pereira,0.0,0
688,Sara Donaire Peralta,Bucaramanga,11.63,0.17,Bucaramanga,Bucaramanga,0.0,0
689,Sofía Clavero Pellicer,Villavicencio,38.04,1.79,Bogota,Bogota -> Villavicencio,123.0,1
690,Aránzazu Marco-Peláez,Neiva,44.23,0.36,Ibague,Ibague -> Neiva,211.0,1
691,Juan Osuna Vazquez,Cali,37.71,1.12,Bogota,Bogota -> Cali,458.0,1
692,Flavia Abella,Tunja,41.32,2.21,Bogota,Bogota -> Tunja,139.0,1
693,Berto Busquets Salom,Pasto,17.76,1.96,Bogota,Bogota -> Cali -> Pasto,844.0,2
694,Juan Francisco Landa Tamarit,Villavicencio,7.02,2.77,Bogota,Bogota -> Villavicencio,123.0,1
695,Isaura Macías Cañete,Bogotá,6.66,1.77,,NO EXISTE EN GRAFO,,0
696,José Ángel Juan Luis Domínguez Checa,Medellín,13.68,2.58,,NO EXISTE EN GRAFO,,0
697,Ainoa Castelló Rivera,Villavicencio,64.58,2.74,Bogota,Bogota -> Villavicencio,123.0,1
698,Ignacia Sobrino Larrañaga,Bogotá,27.45,0.75,,NO EXISTE EN GRAFO,,0
699,Vito Poza Rodríguez,Pereira,34.98,0.12,Pereira,Pereira,0.0,0
700,Dafne Carlos Olivares,Cartagena,2.97,0.17,Bucaramanga,Bucaramanga -> Cartagena,623.0,1
701,Aristides de Samper,Cali,43.4,1.28,Bogota,Bogota -> Cali,458.0,1
702,Édgar Fabio Téllez Barrena,Neiva,21.83,0.53,Ibague,Ibague -> Neiva,211.0,1
703,Julio César Hervia-Gutierrez,Santa Marta,31.37,0.47,,NO EXISTE EN GRAFO,,0
704,Jacinta de Noriega,Neiva,58.57,2.89,Ibague,Ibague -> Neiva,211.0,1
705,Basilio Sandoval Larrañaga,Armenia,4.99,2.85,Ibague,Ibague -> Armenia,5.4,1
706,Flor Llorens Ayuso,Armenia,51.64,0.51,Ibague,Ibague -> Armenia,5.4,1
707,Encarnita Frías Lluch,Barranquilla,78.99,2.74,Pereira,Pereira -> Medellin -> Barranquilla,992.0,2
708,Anacleto Teobaldo Nicolau Cervantes,Tunja,68.56,2.43,Bogota,Bogota -> Tunja,139.0,1
709,Marianela Lobo Roselló,Ibagué,78.77,0.8,,NO EXISTE EN GRAFO,,0
710,Luisa Marisela Abascal Castellanos,Ibagué,71.93,1.0,,NO EXISTE EN GRAFO,,0
711,Desiderio Bautista Figuerola,Neiva,74.01,0.58,Ibague,Ibague -> Neiva,211.0,1
712,Albano Nebot Ferrer,Pereira,71.79,1.58,Pereira,Pereira,0.0,0
713,Horacio del Crespo,Cali,77.27,2.34,Bogota,Bogota -> Cali,458.0,1
714,Gerardo Paulino Acero Mármol,Bogotá,20.93,2.66,,NO EXISTE EN GRAFO,,0
715,Petrona Oriana Agustín Llamas,Bucaramanga,26.14,2.46,Bucaramanga,Bucaramanga,0.0,0
716,Cosme Lluch Trillo,Pereira,66.13,0.56,Pereira,Pereira,0.0,0
717,Marcelo Trillo Benavides,Pereira,39.78,2.14,Pereira,Pereira,0.0,0
718,Oriana Eli Amador Castell,Pasto,31.47,2.24,Bogota,Bogota -> Cali -> Pasto,844.0,2
719,Adoración Olimpia Agustín Dominguez,Cali,20.24,2.81,Bogota,Bogota -> Cali,458.0,1
720,Narcisa de Sala,Cali,38.77,1.95,Bogota,Bogota -> Cali,458.0,1
721,Gerardo Lamas,Bucaramanga,37.97,2.4,Bucaramanga,Bucaramanga,0.0,0
722,Hermenegildo Coello Alcázar,Santa Marta,21.92,0.03,,NO EXISTE EN GRAFO,,0
723,Ileana Martin Corral,Manizales,0.84,2.21,Ibague,Ibague -> Manizales,163.0,1
724,Dora Daza Jódar,Santa Marta,6.46,0.53,,NO EXISTE EN GRAFO,,0
725,Mayte Charo Rodríguez Burgos,Neiva,69.3,2.06,Ibague,Ibague -> Neiva,211.0,1
726,Sancho Barrios Ayllón,Neiva,77.83,2.86,Ibague,Ibague -> Neiva,211.0,1
727,Íñigo Quintero Cardona,Pasto,57.61,0.85,Bogota,Bogota -> Cali -> Pasto,844.0,2
728,Simón Farré-Gual,Barranquilla,57.88,0.72,Pereira,Pereira -> Medellin -> Barranquilla,992.0,2
729,Hugo Vélez,Manizales,50.23,0.05,Ibague,Ibague -> Manizales,163.0,1
730,Purificación Cámara Suárez,Bogotá,19.76,1.45,,NO EXISTE EN GRAFO,,0
731,Leandra Barceló,Pereira,23.93,1.57,Pereira,Pereira,0.0,0
732,Abilio Lorenzo Ferrández,Neiva,40.11,2.52,Ibague,Ibague -> Neiva,211.0,1
733,Vito Bru Lozano,Bogotá,48.6,2.57,,NO EXISTE EN GRAFO,,0
734,Berto Bautista-Marcos,Manizales,27.24,1.77,Ibague,Ibague -> Manizales,163.0,1
735,Felisa Valls Naranjo,Pereira,54.8,1.4,Pereira,Pereira,0.0,0
736,Ágata Tejedor Arcos,Barranquilla,45.65,1.31,Pereira,Pereira -> Medellin -> Barranquilla,992.0,2
737,Cosme Vallés Suarez,Santa Marta,68.73,0.81,,NO EXISTE EN GRAFO,,0
738,Venceslás Coronado Alberdi,Manizales,11.84,0.7,Ibague,Ibague -> Manizales,163.0,1
739,Natalio Amaya Pont,Manizales,58.39,1.73,Ibague,Ibague -> Manizales,163.0,1
740,Iris Vargas Pi,Tunja,79.92,0.9,Bogota,Bogota -> Tunja,139.0,1
741,Casemiro Gabaldón Barón,Santa Marta,4.9,2.51,,NO EXISTE EN GRAFO,,0
742,Julio Murcia Bejarano,Cali,47.65,1.84,Bogota,Bogota -> Cali,458.0,1
743,Berto Natanael Alsina Cáceres,Santa Marta,48.97,1.46,,NO EXISTE EN GRAFO,,0
744,Georgina Rosselló Revilla,Medellín,31.21,0.7,,NO EXISTE EN GRAFO,,0
745,Patricio Cerdán Oliver,Cartagena,35.66,1.61,Bucaramanga,Bucaramanga -> Cartagena,623.0,1
746,Humberto Crespi Sarmiento,Cali,37.4,1.58,Bogota,Bogota -> Cali,458.0,1
747,Yésica Amo Egea,Tunja,21.09,1.2,Bogota,Bogota -> Tunja,139.0,1
748,Sarita Miró,Pasto,27.3,1.28,Bogota,Bogota -> Cali -> Pasto,844.0,2
749,Milagros Valverde Adadia,Armenia,20.66,0.26,Ibague,Ibague -> Armenia,5.4,1
750,Marta Ledesma Saura,Ibagué,46.97,2.7,,NO EXISTE EN GRAFO,,0
751,Eduardo Roda Mascaró,Ibagué,67.96,2.25,,NO EXISTE EN GRAFO,,0
752,Felipa Castejón Teruel,Pereira,39.13,1.86,Pereira,Pereira,0.0,0
753,Eugenia Rosales Morales,Cali,11.55,1.07,Bogota,Bogota -> Cali,458.0,1
754,Carlito Leal Mariscal,Santa Marta,66.75,2.43,,NO EXISTE EN GRAFO,,0
755,Bonifacio Coronado Roma,Manizales,14.22,0.04,Ibague,Ibague -> Manizales,163.0,1
756,Jordán Bravo,Medellín,77.64,0.59,,NO EXISTE EN GRAFO,,0
757,Herminia Olivera Batalla,Neiva,78.31,1.49,Ibague,Ibague -> Neiva,211.0,1
758,Benjamín Javier Diéguez Llorente,Pasto,32.84,0.24,Bogota,Bogota -> Cali -> Pasto,844.0,2
759,Dan Arnau Pou,Bucaramanga,47.71,0.17,Bucaramanga,Bucaramanga,0.0,0
760,Beatriz Eligia Fajardo Prieto,Pasto,15.99,1.24,Bogota,Bogota -> Cali -> Pasto,844.0,2
761,Curro Mas Tejedor,Cali,40.77,2.49,Bogota,Bogota -> Cali,458.0,1
762,Anastasia Soto Salazar,Manizales,33.57,0.61,Ibague,Ibague -> Manizales,163.0,1
763,Carmina del Salamanca,Santa Marta,56.77,1.2,,NO EXISTE EN GRAFO,,0
764,Bernardita Villa-Sanmartín,Ibagué,57.19,1.18,,NO EXISTE EN GRAFO,,0
765,Pascual Nadal Amador,Neiva,18.84,0.92,Ibague,Ibague -> Neiva,211.0,1
766,Plinio Casal Fernandez,Bucaramanga,66.63,2.71,Bucaramanga,Bucaramanga,0.0,0
767,Genoveva Conesa,Armenia,77.55,1.67,Ibague,Ibague -> Armenia,5.4,1
768,Hipólito de Belda,Bucaramanga,21.33,1.74,Bucaramanga,Bucaramanga,0.0,0
769,Francisco Torrens-Estévez,Medellín,9.67,1.36,,NO EXISTE EN GRAFO,,0
770,Gil Paniagua Zamorano,Armenia,30.77,2.96,Ibague,Ibague -> Armenia,5.4,1
771,Celestino Cortina Jurado,Manizales,55.26,1.49,Ibague,Ibague -> Manizales,163.0,1
772,Chema del Serrano,Cali,37.6,1.09,Bogota,Bogota -> Cali,458.0,1
773,Cipriano Dueñas Codina,Pereira,77.45,2.69,Pereira,Pereira,0.0,0
774,Epifanio Plana Cantón,Pereira,47.33,0.85,Pereira,Pereira,0.0,0
775,Espiridión Giralt Trujillo,Manizales,4.9,2.57,Ibague,Ibague -> Manizales,163.0,1
776,Brunilda Rosenda Arellano Diego,Pereira,35.84,2.09,Pereira,Pereira,0.0,0
777,María Ángeles Morales Bertrán,Tunja,28.0,0.93,Bogota,Bogota -> Tunja,139.0,1
778,Antonio Martinez Lobo,Pereira,31.13,2.75,Pereira,Pereira,0.0,0
779,Wilfredo del Rodríguez,Medellín,4.71,2.7,,NO EXISTE EN GRAFO,,0
780,Delia Aliaga Sanchez,Tunja,21.48,1.7,Bogota,Bogota -> Tunja,139.0,1
781,Leire del Romero,Santa Marta,12.88,0.99,,NO EXISTE EN GRAFO,,0
782,Florencia Ballester Marin,Medellín,15.18,2.09,,NO EXISTE EN GRAFO,,0
783,Julieta Dueñas-Estevez,Manizales,73.93,2.9,Ibague,Ibague -> Manizales,163.0,1
784,Rosalinda Cardona Gargallo,Tunja,15.2,2.57,Bogota,Bogota -> Tunja,139.0,1
785,José Antonio Casals-Marti,Pereira,23.83,1.99,Pereira,Pereira,0.0,0
786,Sabina de Antúnez,Manizales,57.35,0.39,Ibague,Ibague -> Manizales,163.0,1
787,Maricela Benavente Bayo,Ibagué,49.19,2.3,,NO EXISTE EN GRAFO,,0
788,Hernán Eusebio Anglada Clemente,Bucaramanga,13.57,1.2,Bucaramanga,Bucaramanga,0.0,0
789,Rodrigo Bosch,Cali,65.18,1.41,Bogota,Bogota -> Cali,458.0,1
790,Verónica Sans Carnero,Medellín,10.39,1.34,,NO EXISTE EN GRAFO,,0
791,Heraclio Sanjuan Huerta,Manizales,60.14,0.53,Ibague,Ibague -> Manizales,163.0,1
792,Anacleto Bernad Pi,Pereira,8.12,2.7,Pereira,Pereira,0.0,0
793,Celso de Alegre,Cali,70.51,2.25,Bogota,Bogota -> Cali,458.0,1
794,Dulce Vicens-Piñol,Tunja,66.56,1.7,Bogota,Bogota -> Tunja,139.0,1
795,Bernardo Amorós Cabeza,Cartagena,41.0,2.69,Bucaramanga,Bucaramanga -> Cartagena,623.0,1
796,Amelia Tamarit Barrios,Manizales,58.93,2.75,Ibague,Ibague -> Manizales,163.0,1
797,Lara Salom,Armenia,9.44,1.18,Ibague,Ibague -> Armenia,5.4,1
798,Emiliano Montserrat-Moliner,Ibagué,1.73,1.42,,NO EXISTE EN GRAFO,,0
799,Mercedes Valentín Martin,Santa Marta,43.21,2.78,,NO EXISTE EN GRAFO,,0
800,Gonzalo Escudero Nebot,Pasto,54.27,1.11,Bogota,Bogota -> Cali -> Pasto,844.0,2
801,Emelina Tudela Galiano,Manizales,25.51,2.21,Ibague,Ibague -> Manizales,163.0,1
802,Patricia Soler Galán,Pasto,42.51,1.16,Bogota,Bogota -> Cali -> Pasto,844.0,2
803,Natividad Barral Millán,Cali,51.6,0.92,Bogota,Bogota -> Cali,458.0,1
804,Luís Arana Bravo,Pasto,22.45,2.96,Bogota,Bogota -> Cali -> Pasto,844.0,2
805,Cándido Novoa Cueto,Manizales,45.59,1.45,Ibague,Ibague -> Manizales,163.0,1
806,Tristán Nogueira Fortuny,Bogotá,13.83,1.61,,NO EXISTE EN GRAFO,,0
807,Heraclio Aguilar Toledo,Santa Marta,10.73,0.34,,NO EXISTE EN GRAFO,,0
808,Anselma Escolano Galán,Cali,65.54,0.09,Bogota,Bogota -> Cali,458.0,1
809,Berto Enríquez Palau,Tunja,55.93,2.21,Bogota,Bogota -> Tunja,139.0,1
810,Soledad Viñas Guillén,Barranquilla,27.05,1.84,Pereira,Pereira -> Medellin -> Barranquilla,992.0,2
811,Carmen Mesa Durán,Neiva,17.11,2.85,Ibague,Ibague -> Neiva,211.0,1
812,Sebastian Arcos González,Manizales,39.42,0.01,Ibague,Ibague -> Manizales,163.0,1
813,Tomás de Sedano,Tunja,66.88,1.34,Bogota,Bogota -> Tunja,139.0,1
814,Joaquín Elías Mayo,Manizales,69.86,2.38,Ibague,Ibague -> Manizales,163.0,1
815,Felicidad Huertas Reig,Bogotá,19.02,1.87,,NO EXISTE EN GRAFO,,0
816,Noa Chamorro Nogués,Barranquilla,4.38,0.43,Pereira,Pereira -> Medellin -> Barranquilla,992.0,2
817,Reynaldo Anglada Amorós,Cali,53.41,0.49,Bogota,Bogota -> Cali,458.0,1
818,Glauco Mariscal-Narváez,Bucaramanga,65.4,2.83,Bucaramanga,Bucaramanga,0.0,0
819,Esmeralda Guerrero Heredia,Medellín,47.63,1.16,,NO EXISTE EN GRAFO,,0
820,Manu Blanca Ropero,Pereira,58.07,0.43,Pereira,Pereira,0.0,0
